99999 100000
0 61919 41
1 26123 78244
1 67576 77984
1 18693 21027
0 64812 98
1 38027 59993
1 9354 80009
1 33871 60944
1 37456 71429
0 84214 77
0 55079 52
1 64173 69650
1 34305 67842
0 50174 83
1 42492 93720
0 8307 51
1 46282 85905
1 79524 84839
1 2367 60985
1 54349 93207
0 74481 1
1 19582 44195
0 56389 82
0 5390 31
0 31809 32
1 59353 84357
0 64843 89
1 67860 70239
0 57970 5
0 73128 64
1 49584 71571
0 65713 0
1 20363 88977
0 85745 70
1 77196 92147
0 2383 60
1 6953 17390
1 28367 43394
0 58691 32
1 13279 31113
0 85782 13
0 7189 43
0 12963 76
0 15075 88
1 41245 54900
1 68138 93419
1 946 86318
1 55380 80430
1 47893 84976
1 2579 89817
0 9887 19
1 31936 84915
1 47319 93662
0 29587 36
0 40064 23
1 37927 55241
1 28932 32624
1 68293 89698
1 72091 81975
1 85516 94990
1 42745 61764
1 65816 67379
0 25452 63
1 10090 44858
1 36127 97974
1 30 32434
1 33414 46509
0 1583 46
1 30141 51212
0 52263 3
1 2441 21128
0 86132 41
0 42083 41
0 85532 27
1 28048 60407
1 55852 99382
1 47232 93621
1 13465 93633
1 15605 34365
0 28275 69
1 23135 89957
1 15207 72634
1 16896 53840
0 76124 43
1 68054 98898
0 85205 30
1 43821 46301
0 27689 36
1 23913 74441
1 59247 69891
0 55968 5
1 7921 32391
1 817 52790
0 4973 84
0 13812 30
1 33765 73731
1 58338 93420
1 70677 99514
0 66548 62
0 46962 59
1 70977 90145
0 26685 45
1 50403 81133
0 31015 16
1 23194 99719
1 22653 43845
1 5873 8709
0 33095 65
0 43584 63
0 58902 18
0 18324 39
0 83716 1
0 59341 35
0 16819 29
0 65434 47
1 21618 93459
0 86468 69
1 24562 51032
1 56936 59928
1 71435 99014
1 30461 41971
0 82263 68
0 69860 34
0 25252 10
1 12803 18006
0 12280 70
0 59510 21
0 76750 7
1 6652 32718
1 31644 99541
0 3393 47
1 17333 31161
0 16854 10
1 84156 87698
1 81885 86861
1 19275 29036
0 13073 61
1 41169 96205
0 49845 83
1 60908 81713
0 84998 25
0 18063 50
1 11324 77667
0 74790 98
1 67388 81826
1 17300 19001
0 65954 26
0 87793 14
1 18615 99208
0 42728 54
1 61828 83217
0 37404 21
0 10933 38
0 88539 95
0 48005 6
0 89039 28
0 6415 29
1 3567 23281
0 38115 92
1 7170 85164
0 90991 46
1 1714 87170
0 53240 7
0 89447 94
1 1008 13543
1 64252 73317
1 12993 22243
1 28288 88431
0 86704 23
0 2131 80
1 30617 32345
0 3891 65
1 16862 75345
0 34824 36
1 36465 49507
1 81318 93886
1 66940 85672
0 4094 87
0 37280 86
1 14583 55599
0 41412 81
0 54066 89
1 6100 92382
1 36634 67687
1 19407 69552
1 57767 99940
1 17481 60539
0 47661 19
0 95708 98
0 88503 22
0 28995 75
0 87582 22
0 23101 56
1 16194 26186
1 28918 58691
0 78339 93
0 42408 29
1 30403 82621
1 86786 96802
0 37235 31
1 14122 62827
0 79249 96
0 50239 44
0 81298 48
0 53667 80
0 38736 90
1 44142 55514
1 6439 91116
0 86144 53
0 42590 29
0 88 3
1 60408 65779
1 10737 54356
0 56677 86
1 26809 46641
1 79616 93867
1 52100 85772
0 55818 46
0 85893 27
0 18492 8
0 28457 29
1 16248 65402
0 90295 32
0 56055 70
1 62152 75276
0 30386 96
1 52781 76861
1 35620 67516
1 4399 96351
1 68317 72913
0 94288 64
1 14580 64861
1 47943 85291
0 49621 33
0 61866 76
1 42373 51486
0 56728 72
0 90820 86
1 52723 74675
0 79667 79
1 96979 96980
1 14279 91865
0 12446 39
0 7484 51
0 36719 33
1 12971 83801
1 50247 92127
0 91026 89
0 55897 20
0 81485 8
1 24162 42212
1 43904 44414
1 44675 72410
0 49618 83
1 34240 57029
0 36837 62
0 37105 55
0 35867 67
1 8534 76285
1 27679 96652
1 47892 90483
1 75956 87642
1 8998 67996
1 7444 23681
1 4663 45930
1 32048 74895
1 1667 56281
1 78596 87779
1 1559 6111
0 47994 7
1 34250 40596
1 26826 72374
0 49684 58
0 12612 47
1 77513 96820
0 38015 21
0 78677 57
1 29986 91927
0 79445 24
0 98290 22
0 21604 64
0 82241 31
1 8069 52234
1 74060 98385
0 47775 9
1 14821 90942
0 30204 84
1 38597 92493
0 76742 44
1 13714 79278
1 56621 59167
1 2015 60124
0 66921 4
1 46126 51386
0 28692 61
1 29787 51349
1 64135 87242
0 28360 27
1 21353 54700
0 77690 16
0 67361 51
1 25322 33500
0 25199 81
1 47166 84453
1 70397 99947
0 71731 62
0 98986 75
1 37319 43052
1 2681 23256
1 749 62628
0 12293 99
0 94046 59
1 34721 59332
0 38609 45
0 57392 73
1 57257 93434
0 73174 29
1 15047 45668
0 12946 48
0 66816 51
0 73154 79
0 80007 64
1 48013 51761
1 57078 79361
0 31873 67
0 318 96
0 14720 39
0 38212 90
1 26569 76301
1 72413 77478
0 26985 41
1 58980 74271
0 6926 27
0 50156 78
1 46362 90572
1 27673 38412
1 30342 65358
0 88966 37
0 47882 53
1 53873 68547
0 27040 80
1 3285 53917
1 24105 69977
0 14266 59
1 14401 34668
0 79576 52
0 23822 74
1 29314 54334
0 43010 25
1 62217 74861
1 51513 78866
0 59468 54
1 9280 74206
1 26459 34468
1 27597 41039
0 13000 92
0 35277 27
1 73511 90137
0 63502 83
0 80040 80
1 13006 89545
1 11022 45380
0 6386 99
0 91440 33
0 9298 27
1 9892 14288
0 58199 86
1 36904 59310
0 15650 33
0 25293 24
1 64600 69848
1 19819 66655
0 50442 88
1 13198 75542
0 1146 8
0 62919 20
1 83417 94795
0 8844 40
0 8141 35
0 54847 11
0 3321 54
1 31449 99040
1 23731 67602
0 30798 20
1 16664 23742
0 29507 67
1 28813 91475
0 1037 20
0 4183 21
1 24513 87704
1 9005 58432
1 6632 34981
1 44979 51422
0 21271 94
0 21873 96
0 33327 72
1 16303 40057
0 53212 12
0 32516 51
0 41014 17
1 40668 86022
0 91968 76
1 11311 27892
0 66089 20
1 8291 11978
1 96189 99469
0 30213 3
0 94856 60
0 82895 19
1 83733 85090
1 81983 97326
0 82865 83
1 13697 35034
0 988 48
1 15025 47422
1 81625 85698
1 50729 66786
1 21073 42439
1 35898 43698
1 41716 52917
1 34019 96163
1 25797 53232
1 75264 98410
0 99631 64
1 32818 57773
1 31952 39051
1 23505 46179
0 9421 73
0 93626 0
0 98285 97
1 13024 15730
0 24469 98
0 17770 87
1 27314 40219
1 6472 42338
1 731 65809
1 6290 32358
1 22078 36416
0 50615 32
0 53618 37
0 17647 39
0 10494 81
0 78521 73
1 1676 13326
0 75144 95
0 74406 70
1 10224 68001
1 64710 87906
1 20331 65378
0 42260 11
1 35885 83157
0 88863 10
1 37442 80651
1 72602 99945
0 15150 55
1 61202 91791
0 23136 23
1 6616 76629
1 20052 63707
1 49527 58547
1 9866 43042
0 76255 39
1 4431 74521
1 1522 72828
0 19345 55
0 90077 9
0 49580 53
0 46627 31
1 73673 74435
1 72617 96219
1 89236 96344
1 4994 47595
0 80218 43
0 16663 54
0 73737 27
1 59245 91411
1 19030 23335
0 27549 8
1 20907 56014
0 81650 0
1 28354 67263
1 49332 55525
1 7319 11791
0 10784 53
0 50041 87
1 37374 78343
1 18074 68161
0 19140 81
0 46888 1
1 26792 35313
0 31022 53
0 26782 10
1 14791 32004
1 71604 79718
1 31356 82790
1 40055 58667
1 7651 86110
0 3249 37
0 42845 74
0 10499 42
1 35052 95615
1 46759 61748
1 74150 94264
1 5889 44899
1 59066 82661
1 53405 53863
1 85108 94658
0 50147 10
1 31310 59795
0 3992 31
1 8147 34258
0 14701 46
1 18643 34290
0 97089 96
0 14107 78
1 20547 95839
1 46344 56834
1 1704 29673
1 51729 56302
0 16660 64
0 21592 86
0 33841 20
1 23197 92432
1 33110 34825
0 42757 93
0 68587 1
0 88391 83
0 83870 36
0 6207 68
0 61288 29
0 84022 74
1 21616 46310
1 30739 83806
1 26853 54599
0 37622 82
1 31195 79411
0 59280 98
1 31991 66610
0 82047 46
1 1635 42421
1 15248 80615
0 9640 40
1 1591 86307
1 50022 86856
0 28608 43
1 20169 55923
0 2883 48
1 32534 78455
1 33256 41967
0 8306 97
0 98831 8
1 28740 75054
1 22274 59044
0 4967 53
1 75850 78443
0 19391 68
1 22124 39261
0 91482 68
0 4880 18
1 36195 44476
0 19601 59
1 24480 94786
1 82007 82586
0 31049 47
0 82837 64
1 16581 36447
0 45665 29
0 56403 59
1 20396 38790
1 38922 43472
0 79691 46
1 41734 60805
1 9895 76867
1 55944 62243
0 32441 35
0 12748 50
0 45920 86
1 21526 92239
1 37053 84335
0 4904 60
1 18529 27963
1 52695 93172
0 58270 29
1 61006 65043
0 67331 34
1 80493 92933
1 28351 36138
1 16178 32481
1 20108 53598
0 78947 90
0 8333 58
0 439 33
1 27430 47253
1 34408 68669
1 17948 27695
1 43281 73105
0 1322 20
0 78947 76
0 87867 33
0 81204 11
1 1561 17339
0 2299 50
0 90823 70
0 91850 62
0 77647 62
0 14002 79
1 48930 57186
1 18402 70395
1 43741 69005
1 24641 44771
1 1917 76536
0 54479 47
1 35593 56465
1 26629 69612
1 30606 78207
0 50188 51
0 70718 64
1 53379 58323
0 35298 91
1 39366 45692
1 39231 47688
0 5491 29
1 16881 76726
0 22712 21
1 53183 95526
0 15407 56
1 8006 34965
1 37700 93639
0 9645 8
0 40936 57
1 2941 33644
0 9719 53
1 32332 43259
0 61127 6
1 20733 48562
1 35350 62035
0 81421 30
0 30827 6
1 57555 95198
1 21040 57698
1 32773 88661
0 13476 45
1 38678 83667
0 53694 42
0 90390 93
1 27838 41481
0 64303 77
1 31498 56763
0 21741 77
0 23391 55
1 19740 49897
0 71292 21
1 17517 42462
1 50340 55511
1 61673 86543
1 24302 61556
0 25365 42
1 47254 62830
0 31749 54
1 12580 67923
0 73040 62
1 45374 68732
0 13828 80
1 45456 59048
1 10750 21287
1 53465 94272
0 54715 23
1 14998 89597
1 48018 54819
1 88321 97366
1 44353 53803
0 4614 83
0 26659 45
0 253 66
0 43142 11
0 56979 75
0 36610 63
1 44176 91798
0 17805 67
1 91595 98683
1 76037 97717
0 84243 63
0 416 91
0 63501 16
1 57042 58555
0 67142 69
1 36231 36409
1 10058 89869
0 23459 25
0 62336 60
0 17051 72
1 73472 78842
1 68242 87536
0 61249 76
0 71660 27
1 28398 88351
0 46923 65
1 3168 78892
1 48002 57155
1 15582 85729
0 15689 4
1 7422 75561
1 33509 68017
0 47770 90
1 63327 92686
1 64477 69941
1 1839 93129
1 20914 34530
1 42685 84446
1 55456 56065
1 35853 63153
0 35214 30
1 34129 39989
1 11784 65637
1 17286 55931
0 65380 34
1 22217 44291
1 32466 78885
1 39057 88399
1 11909 88992
1 6389 98284
1 10083 52044
0 80483 69
1 78205 86804
1 72388 83629
1 32067 69066
1 7611 15242
0 15426 42
1 521 12048
0 21877 58
0 93333 30
0 15277 33
0 86057 43
0 21946 81
1 50016 83081
1 7889 71363
1 56553 72902
0 79204 54
0 15197 8
0 12465 66
0 82988 30
0 9230 8
1 6398 68668
0 55867 75
0 36670 11
0 88706 46
1 95958 97475
1 42533 50279
0 41207 87
1 11769 71622
0 19515 82
1 30881 32628
0 41640 84
0 43262 64
0 11713 19
1 49875 66431
1 41289 45415
1 54923 61418
0 84366 13
0 66836 37
0 41250 44
0 32116 61
1 1863 75239
1 59132 65701
1 64760 75669
0 68500 61
0 1366 50
0 52637 73
0 89938 84
0 126 86
1 50898 63911
1 30887 45771
0 74203 37
0 68880 28
0 61472 49
0 51975 73
1 30080 94029
0 67756 17
0 92172 58
1 28918 94437
1 37993 63254
0 42902 43
0 83500 90
0 66663 24
1 21428 97095
1 53934 63999
1 35873 75283
0 90455 34
1 75939 83545
1 42787 71162
1 52852 98095
0 11826 91
0 94199 92
0 15641 26
0 85414 29
1 51016 97048
0 26975 98
1 19941 57353
1 20208 88821
1 13252 99923
1 9796 81545
1 60240 68559
1 55371 75888
1 43559 49050
1 78803 99074
1 27483 78185
0 72713 60
1 50150 76169
0 81712 14
1 72911 78404
1 21281 93984
0 49639 67
1 60254 65483
0 19293 75
0 47249 62
0 71087 17
0 60601 39
1 32301 49558
0 88824 73
0 16919 98
0 94742 22
0 42457 97
1 69617 73303
1 21310 65634
0 25190 19
0 91719 74
1 74857 82671
0 26 76
0 87590 87
0 61462 63
1 17556 99061
1 16230 86513
0 92027 50
0 12931 52
1 2388 86045
1 38620 82268
1 8456 59782
0 29037 84
1 29330 69757
1 64601 97684
0 44489 97
0 67666 81
1 44383 70017
1 43013 85022
1 48539 95076
0 35552 39
0 13135 64
1 26846 90767
0 73527 8
0 57259 44
1 67693 71614
1 59342 62404
0 80797 98
0 67448 14
0 7589 93
1 18407 40662
1 23090 38557
0 71079 11
0 50072 16
0 55147 18
1 64489 74620
1 90835 94490
1 52719 60546
1 70223 98556
1 20992 61653
1 36523 43758
0 44895 94
0 74699 93
1 13607 58672
1 31164 64293
0 59638 70
0 98987 34
0 44140 80
0 37373 71
0 84416 80
0 79785 20
1 677 99405
1 10943 22860
0 89736 61
1 72726 95128
1 31706 64847
0 80943 93
1 62971 77381
1 15034 56100
1 5042 70642
0 64599 11
1 16508 65854
0 61035 30
0 54131 45
0 20070 88
0 55700 90
0 92797 86
1 655 59832
0 66706 8
0 78310 47
1 39617 78849
1 59323 84939
0 68628 86
0 94870 51
1 20140 85023
1 66255 94774
0 67234 50
0 55974 28
1 61940 93057
0 43454 43
1 30149 34329
0 4882 17
1 38992 48218
0 82060 25
1 81102 81613
0 36679 97
1 24156 34273
1 5275 96548
0 9842 52
1 70476 74167
0 19574 6
0 43755 75
0 68089 42
0 53253 45
0 58373 84
0 14731 47
1 59718 80155
0 92949 54
1 83799 92211
1 65698 99398
0 54595 23
0 42307 19
0 19824 24
1 68742 97460
0 87899 73
1 50361 85483
0 35149 24
0 43893 37
1 58507 67353
0 70159 91
0 60813 14
0 59542 64
1 47079 55961
0 59410 62
0 89262 50
0 46286 76
0 19036 8
1 41898 63411
0 55950 90
1 22844 76990
0 91938 63
0 17534 32
1 14443 40956
1 47240 84622
1 7021 24442
1 44762 70411
1 39305 98865
1 54086 68125
1 26107 47044
1 1383 9297
1 33873 70073
1 30886 78485
1 34597 65453
0 27376 70
1 24290 38969
1 14122 30914
0 39079 56
0 91266 78
1 65273 82182
0 11909 9
0 52292 25
0 26676 51
1 48193 55425
0 11462 43
0 88726 95
1 22393 43302
1 20895 71935
1 93964 94519
0 76842 36
1 48213 80583
1 22984 85280
0 17569 33
0 12747 10
0 25257 79
1 51011 91659
1 26262 94654
1 19635 46230
1 8664 78390
0 64088 59
1 3728 37306
1 18257 84069
1 45402 57920
1 76748 87818
1 52425 53749
0 83866 11
1 6836 84885
1 60161 74323
1 80596 89596
1 27128 74052
1 30706 36805
0 22007 7
0 37257 87
0 78503 31
1 70525 98504
1 18131 53949
0 25102 60
0 52450 18
1 20212 69620
0 78522 80
0 52677 3
1 573 58330
1 38945 40643
1 17653 22908
1 11384 30310
1 16496 57060
0 40548 31
0 88739 92
0 24264 72
0 24054 62
0 83632 48
0 52472 1
0 71680 39
0 66552 35
1 47267 95476
1 43683 83760
1 73056 91857
1 12358 87385
0 81573 62
1 39283 81460
1 35768 58245
1 793 44012
1 51851 67656
0 65760 53
0 28126 11
1 3654 22219
1 8824 68161
1 24121 32692
1 35336 60764
0 2863 90
1 16209 93856
1 53872 73777
0 80059 52
1 35624 58533
0 62685 24
1 48748 56189
1 20856 87912
0 57435 0
1 34808 37706
0 9498 82
0 85476 7
0 88236 64
1 10643 86378
0 87300 71
0 97556 29
1 24953 52589
1 2051 77213
0 9187 94
0 41746 62
0 92839 20
0 1390 73
1 5557 75600
0 67332 59
0 14101 56
0 93360 41
0 28192 95
0 41500 2
1 21794 42258
1 18897 97609
1 60341 98361
0 60778 90
0 14789 81
0 24215 38
0 57994 15
1 60657 76004
0 3893 58
1 22806 23138
0 84068 77
1 970 64445
1 10611 89196
1 45122 74742
0 65377 67
1 6765 85396
0 88637 60
1 47767 62719
0 18938 36
1 20885 31335
0 65161 68
0 22151 80
0 45699 32
1 36076 96313
0 42867 7
1 22900 36027
0 82859 22
0 4507 36
1 8281 71912
0 53784 87
0 86905 74
0 93408 43
0 39515 26
0 29929 0
1 25849 96006
0 63854 24
1 27759 27955
1 14275 65138
1 60477 75258
1 90488 96378
1 12507 26341
1 20672 44731
0 65386 58
0 62876 70
0 18867 73
0 10617 93
1 22313 48401
1 32616 60105
1 14216 50054
0 42442 63
0 14820 0
0 22812 66
1 4404 32112
0 98045 7
0 73787 98
1 27334 78273
0 2132 22
1 71533 97596
1 8442 17579
1 19904 54931
1 36742 83132
1 18921 66567
1 70505 98075
1 15442 54599
1 37006 90832
1 5617 66378
0 79417 14
0 66258 95
0 57875 15
1 15696 20492
1 439 824
0 31383 8
0 24539 20
0 44491 70
0 46179 24
0 66329 20
0 8239 32
0 67532 39
1 32476 64459
0 70080 56
1 49053 64773
1 43730 87066
1 4126 10791
1 42504 63019
1 51496 81966
0 38723 48
1 36966 40240
1 68626 89852
1 7266 54858
0 90790 96
1 57066 82362
0 86072 0
0 26203 42
1 38102 66670
0 18198 42
0 6040 2
0 57118 61
0 47083 83
0 53016 29
1 64000 69368
0 52952 31
0 84665 64
1 46543 76037
1 26283 35445
1 23820 89510
1 64691 84348
0 44747 80
1 44125 77313
1 90735 91890
0 8931 4
0 48364 98
1 47685 74462
0 13810 34
1 58045 61502
1 19975 50278
0 88000 1
1 13743 98053
1 2517 95597
1 50331 80369
1 31989 80524
0 9396 55
0 10440 45
0 56436 61
1 50022 87208
1 43980 78820
0 5407 32
1 59747 79876
0 52294 34
1 68050 80720
1 15238 48909
1 34701 45882
1 11837 39092
1 50034 74920
0 89225 68
1 64455 95034
0 717 23
0 49570 21
0 19636 15
0 43338 34
1 45268 64501
1 79385 95851
0 9352 76
0 74836 52
0 22613 25
1 11339 55010
0 36465 28
1 71193 91587
0 59772 65
1 65977 80677
0 48955 29
0 67845 43
0 77340 69
1 10577 92084
0 66399 78
1 11874 53219
1 64834 85886
1 38783 74292
0 43758 91
1 13267 31491
1 52891 74141
1 74489 79982
1 62104 83947
1 40422 77862
0 82754 49
0 98315 7
0 40485 46
1 29260 99807
0 99812 95
0 37783 36
0 65896 47
1 19155 76837
0 78539 39
1 12827 69809
1 4074 20918
0 12424 56
1 19699 42950
0 37143 21
1 31708 93037
0 14961 39
0 88945 63
1 97821 97973
1 58742 95514
0 58515 70
0 73881 91
0 83822 33
0 34625 96
1 18134 53907
0 89856 64
1 47351 47830
0 1651 88
0 24593 39
1 8215 56220
0 6755 82
0 74753 15
1 6909 78741
0 41293 30
1 42458 71173
0 73429 64
0 33779 59
0 38472 48
0 94489 54
0 78799 13
0 81132 41
1 81076 93986
1 17311 44768
0 78391 23
0 65982 59
1 21083 54422
0 8769 70
0 9132 26
0 53477 67
1 45623 59159
1 363 55897
0 97867 85
0 59936 90
0 75554 2
1 97917 97951
1 50606 95071
0 91254 51
0 4074 4
0 4268 70
1 21175 93304
1 82720 85790
0 81588 52
0 48608 12
1 26301 54567
1 8992 51427
0 45865 55
1 12756 47685
1 44961 89494
0 87246 4
1 33797 56090
1 28062 28636
0 87268 62
0 9373 68
1 42501 53984
1 57837 93037
0 36461 68
0 46680 5
1 3490 22680
1 61430 68318
1 19291 85271
0 20074 47
0 41282 87
0 11988 63
0 79864 41
1 55248 64510
1 42253 83976
0 50118 10
0 88282 76
1 57339 92338
1 23701 26560
0 94037 87
1 58242 83070
1 44944 92993
1 9419 77590
0 92290 85
0 34323 44
1 83231 95850
0 23454 26
0 47290 96
0 32682 73
0 90905 58
0 91840 64
1 3630 79937
1 78317 80649
1 8641 47249
1 25940 35296
1 66693 94476
0 43394 47
1 29255 93597
1 42265 74577
1 44515 55457
0 86928 15
0 53265 15
0 12953 73
0 74143 52
1 25705 93736
1 53545 87864
1 19059 33310
0 51813 68
0 60213 39
1 61322 74960
1 46636 74758
1 58946 64220
1 60927 84744
1 22159 98092
0 64306 20
1 55825 69722
1 2012 13307
0 81262 16
1 32310 36370
0 65149 41
1 25188 77888
1 5200 51909
1 37316 54800
1 14318 49035
1 24035 98165
0 74072 86
0 34199 71
1 19372 63781
1 63055 79966
1 48645 91258
0 36557 23
1 1274 93638
1 8269 58083
0 11677 44
1 3217 43627
1 34713 44817
0 34753 84
0 21712 93
0 92128 34
0 8364 55
0 42342 68
0 15125 77
0 26386 52
0 9003 60
1 20980 95479
1 73550 76791
0 66399 74
0 68477 7
1 9421 24855
1 14185 20438
0 19262 88
0 41037 53
1 5436 98331
